Id,Label
n6,Quannum MC's,west
n7,Souls Of Mischief,west
n8,Latyrx,west
n9,El-P,east
n10,DJ Shadow,west
n11,DJ Krush,japan
n18,Depeche Mode,uk
n19,Push Button Objects,south
n20,Del Tha Funkee Homosapien,west
n21,Mr. Lif,east
n22,DJ Craze,south
n23,Fresh 4,uk
n24,Lizz E.,uk
n25,Hibahihi,japan
n26,Silent Poets,japan
n29,UNKLE,uk
n30,Takagi Kan,japan
n44,Nairobi,japan
n45,Awesome Foursome,east
n48,Coldcut,uk
n49,Floormaster Squeeze,uk
n52,Grandmaster Flash,east
n53,Melle Mel,east
n54,The Furious Five,east
n57,Leftfield,uk
n58,Roots Manuva,uk
n59,Goldie,uk
n60,KRS-One,east
n63,Ronny Jordan,uk
n66,The Herbaliser,uk
n70,Danger Mouse,east
n71,Jemini The Gifted One,east
n72,J-Zone,east
n75,Greg Osby,mid-west
n76,C.L. Smooth,east
n87,Sparky D,east
n88,The Playgirls,east
n99,Rebel MC,uk
n100,Double Trouble,south
n101,Queen Latifah,east
n109,Skye,uk
n110,The Plagiawrists,uk
n111,Various,na
n120,Kicks Like A Mule,uk
n121,Longsy D,uk
n127,Barrington Levy,uk
n140,Mos Def,east
n141,Diverse,mid-west
n142,Prefuse 73,south
n146,Funky Fresh Few,uk
n147,Dual Control,uk
n150,Mary J. Blige,east
n151,Common,mid-west
n152,Omid,west
n153,Josh Martinez,canada
n154,Massive Attack,uk
n155,Kut Masta Kurt,west
n156,Masters Of Illusion,west
n157,Afu-Ra,east
n160,"Kenny ""Dope"" Gonzalez",east
n161,The Mad Racket,east
n162,Brooke Russell,uk
n163,Gentleman,germany
n164,Dynamix II,south
n165,Too Tough Tee,south
n168,Aesop Rock,east
n169,L-Fudge,east
n170,Mathematik,east
n171,Nigo,japan
n172,Scratch Perverts,uk
n173,Maxi Jazz,uk
n174,Soul Food Cafe,uk
n175,Tricky,uk
n176,Gravediggaz,east
n177,DJ Shadow And The Groove Robbers,west
n178,Chief Xcel,west
n179,Cut Chemist,east
n188,Roger Sanchez,east
n189,Kurtis Mantronik,east
n190,EPMD,east
n191,Screechy Dan,east
n192,Boomoperators,netherlands
n193,Funckarma,netherlands
n194,White Boy Mike,international
n195,DJ The Boy,international
n200,Axxis,germany
n201,Thomilla,germany
n202,Afrob,germany
n203,Cyclops 4000,east
n204,Sir Menelik,east
n205,Breezy Beat MC,mid-west
n206,Grandmaster Flash & The Furious Five,east
n207,Duke Bootee,east
n220,DJ Laz,south
n221,Danny D (2),east
n222,Prince Rahiem,east
n223,Beat Master Clay D.,south
n226,Spoonie Gee,east
n227,Treacherous Three,east
n234,Junior Cartier,east
n235,West Street Mob,east
n241,Disco D,mid-west
n242,Princess Superstar,east
n249,Dynamic Syncopation,na
n250,Apathy,east
n253,King Britt,east
n254,The Philadelphia Experiment,east
n257,Priority One (3),west
n258,Techmaster P.E.B.,south
n259,Rap Conscious,na
n260,Sugarhill Gang,east
n263,Q-Tip,east
n264,Tash,mid-west
n266,Youssou N'Dour,senegal
n267,Neneh Cherry,sweeden
n271,The Get Funky Crew,uk
n272,The Sequence,south
n273,Cowboy,east
n274,Scorpio (3),east
n275,The 2 Live Crew,south
n276,Trouble Funk,east
n281,T La Rock,east
n282,Jazzy Jay,south
n283,C-Jam,west
n284,Kid Frost,west
n285,Jay Dee,mid-west
n286,J Dilla,mid-west
n287,Ultramagnetic MC's,east
n288,Kool Keith,east
n293,Tenor Fly,uk
n305,Afrika Islam,east
n306,Ice-T,east
n309,Matthias Arfmann,germany
n310,Turtle Bay Country Club,germany
n311,Joni Rewind,germany
n312,Estelle,germany
n313,DJ Die,uk
n314,Skitz,uk
n315,Dynamite MC,uk
n316,Rodney P,uk
n317,Tali,dominican republic
n318,Mixologists,uk
n321,Lyrics Born,west
n322,The Poets Of Rhythm,germany
n329,DJ Profit,spain
n332,Frank-N-Dank,mid-west
n333,Alec Empire,germany
n334,EL-P,east
n341,Jamaica Mean Time,jamaica
n342,Talib Kweli,east
n343,Black Star,east
n344,Sweetback,uk
n345,Bahamadia,east
n354,Rampage (2),east
n355,Billy Lawrence,mid-west
n356,Madlib,west
n357,Stereo MC's,uk
n360,Afro-Rican,south
n361,S. Justice,south
n362,Derrick Rahming,south
n363,Grandmaster Flash & Melle Mel,east
n364,Dobie,uk
n365,DON-E,uk
n366,Ola The Soul Controller,uk
n373,Luke,south
n382,Hausmarke,germany
n383,Max Herre,germany
n384,Asia Born,west
n385,ABS (2),canada
n386,Creutzfeld & Jakob,germany
n387,OnAnOn,germany
n388,Dike,germany
n389,Raptile,germany
n390,Roger Rekless,germany
n395,Malcolm McLaren,uk
n396,World's Famous Supreme Team,east
n397,Rakim,east
n400,The Genius,east
n401,GZA,east
n412,Marley Marl,east
n413,MC Shan,east
n422,Soul II Soul,uk
n423,Caron Wheeler,uk
n424,The Rapsody,south
n425,Warren G,west
n426,Sissel,norway
n433,Fat Jon,mid-west
n434,Maurice Galactica,mid-west
n437,Toshinobu Kubota,japan
n438,N*E*R*D,south
n439,Lee Harvey,south
n440,Vita (3),east
n441,Missy Elliott,south
n442,Ludacris,south
n445,Fatman Scoop,east
n446,Crooklyn Clan,east
n447,Crazy L'eggs,south
n448,Aim To Please,south
n453,Truth Hurts,mid-west
n458,Blow That Bass And Pump That Whistle,south
n459,Sabrina Setlur,germany
n460,Xavier Naidoo,germany
n467,Biz Markie,east
n468,Lone Catalysts,mid-west
n469,Moby,east
n470,The High & Mighty,east
n471,Mike Zoot,east
n472,Disco Rick,south
n473,The Wolf Pack (3),south
n474,LL Cool J,east
n475,Salt 'N' Pepa,east
n476,Antoinette,east
n477,Curtis Mayfield,mid-west
n478,A Tribe Called Quest,east
n479,Sir Piers,west
n480,Monique Bingham,east
n494,Ferris MC,germany
n495,Kidd Money,south
n496,Teddy Riley,east
n497,Guy,east
n498,Kool G Rap,east
n499,P!NK,east
n500,William Orbit,uk
n504,Lateef The Truth Speaker,west
n505,Maroons,west
n508,Seville,south
n509,King Shameek,east
n510,Red Alert,east
n515,Latin Alliance,west
n518,Roxanne Shanté,east
n519,Hi-Tek,mid-west
n520,Reflection Eternal,east
n521,Big Noyd,east
n522,Company Flow,east
n523,Diamond D,east
n524,Eminem,mid-west
n525,Pharoahe Monch,east
n526,Shabaam Sahdeeq,east
n533,Davy D,east
n534,Hurricane (2),south
n535,Fugees,east
n536,Busta Rhymes,east
n537,John Forte,east
n538,Melanie B,uk
n539,The Roots,east
n540,Erykah Badu,south
n541,Ennio Morricone,italy
n542,International Pony,germany
n543,Crazy Baldheads (2),germany
n544,DJ Muggs,east
n545,"Damon ""Grease"" Blackman",east
n546,Viktor Vaughn,east
n547,MF Doom,east
n550,Sting,uk
n551,The Police,uk
n552,Bootsy Collins,mid-west
n553,MC Lyte,east
n560,Prince Paul,east
n561,De La Soul,east
n571,Nate Dogg,west
n579,Glamour Girls,na
n580,Craig G,east
n586,Divine Styler,east
n587,The Scheme Team,east
n590,Rubix (2),uk
n591,The Mistress,uk
n592,DJ Madame E,uk
n599,Terminator X,east
n600,The Godfathers Of Threatt,east
n601,Whodini,east
n602,Eric Benét,mid-west
n603,Faith Evans,south
n613,Babu,east
n614,The Beatnuts,east
n615,Jurassic 5,west
n616,Felix Sama,south
n617,Nick Baby Love,south
n623,TJ Swan,east
n624,East Flatbush Project,east
n625,Ruste Juxx,east
n626,Murs,west
n627,Slug,mid-west
n628,Felt (2),mid-west
n629,DJ Cam,france
n630,MF Grimm,east
n635,I:Cube,france
n636,RZA,east
n639,Pete Rock,east
n640,Inspectah Deck,east
n641,Kurupt,east
n642,Guru,east
n643,N'Dea Davenport,south
n648,Shing02,japan
n649,Yeshua daPoED,japan
n650,Rose Windross,uk
n651,Pebbles,west
n652,K & M,uk
n654,The Black Flames,uk
n655,Public Enemy,east
n656,Jan Delay,germany
n657,Jan Phillip Eißfeldt,germany
n658,Dennis Dubplate,germany
n659,Absolute Beginner,germany
n660,Eve (2),east
n661,Gwen Stefani,west
n666,Jehst,uk
n667,Harry Love,west
n668,Motion Man,west
n671,Notorious B.I.G.,east
n672,Puff Daddy,east
n673,Mase,south
n674,Refugee Camp All Stars,east
n675,Lauryn Hill,east
n679,Swollen Members,canada
n682,J.R. Swinga,mid-west
n683,Lord Finesse,east
n684,Cocoa Brovaz,east
n692,Joe Budden,east
n693,The Creators,east
n694,Planet Asia,west
n697,Method Man,east
n698,Musiq,east
n699,Alicia Keys,east
n700,Nas,east
n701,The 45 King,east
n704,Tear Da Club Up Thugs,south
n705,Three 6 Mafia,south
n720,Camu Tao,mid-west
n721,Despot,east
n722,The Perceptionists,east
n723,4th Pyramid,canada
n724,Real Live,east
n727,2Pac,west
n728,The Outlawz,west
n729,One (46),korea
n730,B-1,south
n739,Jam Rock Massive,east
n756,Masta Ace Incorporated,east
n757,MC Negro,east
n758,The Ignorant MC,east
n763,Unsung Heroes,uk
n764,Siah,east
n767,Def Squad,east
n768,Erick Onasis,east
n769,Mariah Carey,east
n770,Flipmode Squad,east
n771,Dr. Dre,west
n772,Mack 10,west
n773,Raekwon,east
n774,Ghostface Killah,east
n775,Tony Starks,east
n776,The Last Poets,east
n777,Dead Prez,east
n783,Lil' Kim,east
n784,Scarface (3),south
n785,Johnny P.,mid-west
n786,Casual,west
n787,Extra Prolific,west
n788,Masta Ace,east
n789,Action (2),east
n794,DJ Scott La Rock,east
n795,The Celebrity Three,east
n803,Grandmaster Melle Mel,east
n804,Gang Starr,east
n805,Wolfpak,east
n809,Ty,uk
n810,Labba,east
n811,The Infamous MC,west
n812,112,south
n813,Prince Markie Dee,east
n814,Soul Convention,east
n815,Changing Faces,east
n816,Jay-Z,east
n820,Bad Meets Evil,mid-west
n821,Slim Shady,mid-west
n822,"Royce Da 5'9""",mid-west
n823,Black Moon,east
n824,Smif-N-Wessun,east
n825,MC Eiht,west
n826,CMW,west
n827,Big Kap,east
n828,Da Ladies,east
n832,R. Kelly,mid-west
n833,Ja Rule,east
n834,Ashanti,east
n835,Mystikal,south
n836,Nivea,south
n837,Lighter Shade Of Brown,west
n838,Teardrop,west
n839,Shiro,west
n840,Beenie Man,jamaica
n841,Mya,east
n843,Babyface,mid-west
n844,Foxy Brown,east
n845,Organized Noize,south
n846,Andrea Martin,canada
n847,P. Diddy,east
n848,Pharrell Williams,south
n849,Brandy (2),south
n850,Rahsheed,east
n851,Ill-Advised,east
n852,The Brand New Heavies,uk
n853,Fat Lip,west
n854,Falk (2),germany
n855,Das Bo,germany
n856,DJ Tomekk,poland
n859,Jimmy Page,uk
n860,Stieber Twins,germany
n861,Samy Deluxe,germany
n862,RAG,germany
n863,Skills En Masse,germany
n864,Phil Collins,germany
n867,Funky DL,uk
n868,DJ Stixx,west
n872,City Nord,east
n873,Tony Greer,na
n877,DJ Magic Mike,south
n878,Murphy Lee,mid-west
n879,Jazze Pha,south
n880,Sleepy Brown,south
n881,Deda,germany
n882,Joe Sinistr,east
n883,D12,mid-west
n884,MC Shy D,east
n885,DJ Smurf (2),south
n886,Medaphoar,west
n887,LSG,east
n888,Loon,east
n891,Buckshot,east
n892,5 Ft. Accelerator,east
n893,Evil Dee,east
n896,Run-DMC,east
n897,Above The Law,west
n900,Shortkut,west
n901,Buc Fifty,east
n902,Mr. Brady,west
n903,Jel,mid-west
n904,2Mex,west
n905,Rakaa-Iriscience,west
n906,Puff Daddy & The Family,east
n907,The Pharcyde,west
n908,Space Boy Boogie X,west
n909,ACO,japan
n910,Twigy,japan
n911,Evil Nine,uk
n912,Toastie Taylor,uk
n913,The Fabulous Five,east
n914,Heltah Skeltah,east
n915,O.G.C.,east
n918,Smut Peddlers,west
n919,Kool Savas,germany
n920,The Merciless R.N.S.,west
n921,Jasmin Lopez,west
n922,Consequence (2),east
n926,Jully Black,canada
n927,Khia,east
n928,Dirty South Divas,south
n929,J-Love,east
n930,Large Professor,east
n931,The Taxi Gang,jamaica
n937,Evil Ed (2),uk
n938,Yungun,uk
n939,Chapter III,south
n940,Grand Groove Bunch,east
n941,Kelis,east
n942,T.O.K.,jamaica
n943,Kyna Antee,west
n948,Joe Piscopo
n949,Eddie Murphy,east
n950,Terracotta Troopsjapan
n957,Kehäkettu,finland
n958,Setä Koponen,japan
n961,Big Daddy Kane,east
n962,Barry White,west
n970,Just Four,east
n975,L.O.D. (4),east
n976,Jamal (2),east
n977,Calif,west
n978,Redman,east
n979,Cappadonna,east
n985,Tim Dog,east
n986,MC Solaar,france
n993,Sisqo,east
n994,Cam'ron,east
n997,Saukrates,canada
n998,Choclair,canada
n999,T-Ski Valley,east
n1004,Memphis Bleek,east
n1005,Amil,east
n1006,Total,east
n1007,Lonzo,west
n1008,World Class Wreckin' Cru,west
n1009,Hurby's Machine,east
n1012,The Temple Of Hiphop,east
n1013,Wu-Tang Killa Bees,east
n1018,Zeb.Roc.Ski,germany
n1019,Funkmaster Flex,east
n1020,DJ Kool,east
n1021,Dabrye,mid-west
n1022,Phat Kat,mid-west
n1023,The Honey Drippers,uk
n1024,Little Daddy Shane,east
n1025,Beanie Sigel,east
n1030,Ms. Jade,east
n1031,Tweet,east
n1034,Grandmaster Caz,east
n1035,Chris Stein,east
n1038,Onyx,east
n1039,Wu-Tang Clan,east
n1040,Wyclef Jean,east
n1041,The Prunes,denmark
n1042,Shabazz The Disciple,east
n1043,Maylay Sparks,east
n1046,Dr. Yann,japan
n1048,Snoop Dogg,west
n1049,Clipse,east
n1052,Sweet Tee,east
n1053,Jazzy Joyce,east
n1054,Lady Saw,jamaica
n1055,Marsha (3),jamaica
n1059,DJ K Rock,east
n1060,Awol One,west
n1061,Daddy Kev,west
n1062,DJ Mike Smooth,east
n1063,DJ Nu-Mark,west
n1064,Problemz,japan
n1065,Main Concept,germany
n1070,Irv Gotti,east
n1071,The Inc,east
n1078,Pase Rock,mid-west
n1079,L Universe,japan
n1080,702,west
n1081,Magoo (3),east
n1085,Bumpy Knuckles,east
n1086,Freddie Foxxx,east
n1089,J. Rawls,mid-west
n1090,Vicious Bass,south
n1091,Jermaine Dupri,south
n1094,Bobby Digital,east
n1097,The Psychotic Neurotics,east
n1098,Alchemist,west
n1099,1st Infantry,west
n1100,Sunz Of Man,east
n1101,Hell Razah,east
n1102,4th Disciple,mid-west
n1103,Thee Undatakerz,east
n1110,Beck,west
n1113,YZ,east
n1114,G.Rock,west
n1115,Ice Cube,west
n1116,Ms. Toi,mid-west
n1122,Myalansky,east
n1123,Joe Mafia,east
n1124,Wu Syndicate,east
n1125,Public Announcement,mid-west
n1126,DJ Dynamite,south
n1127,Tony Rotton,uk
n1128,Blak Twang,uk
n1129,Meli,south
n1132,Florian Keller,germany
n1136,Shabba Ranks,jamaica
n1140,Glen Adams,jamaica
n1141,Finesse (3),east
n1144,Draztik Mezurz,germany
n1145,Eazy-E,west
n1146,Gangsta Dresta,west
n1147,B.G. Knocc Out,west
n1150,50 Cent,east
n1151,Lloyd Banks,east
n1152,Perverted Monks,east
n1153,DJ Mentat,uk
n1154,Skinnyman,uk
n1160,Hot Boys,south
n1161,Big Tymers,south
n1162,D&D All-Stars
n1163,Big C (3)
n1166,Apache Indian
n1173,Gina Thompson
n1179,Coolio
n1180,LV
n1181,9th Wonder
n1182,The Bucketheads
n1188,Bald Head Slick
n1189,Strick
n1190,Aphrodelics
n1191,F.T.
n1194,M. Walk Productions
n1195,Union (3)
n1198,Faf Larage
n1199,Shurik'n
n1206,Lone Ranger (3)
n1207,DJ Friction (2)
n1208,Jahcoustix
n1209,F.A.B. (2)
n1210,Spax
n1213,DJ Green Lantern
n1214,Big Mike (6)
n1215,Jadakiss
n1225,Case
n1226,The Royal Posse
n1227,T. Isaam
n1234,Pras Michel
n1235,Ol' Dirty Bastard
n1238,Quincy Jones
n1239,Siedah Garrett
n1240,Starang Wonduh
n1241,Sean Price
n1242,Top Dog
n1243,Defari
n1247,Mobb Deep
n1256,Cedric Ceballos
n1263,Bobby Brown
n1264,Whitney Houston
n1267,DJ Zeph
n1268,Variable Unit
n1269,Roy Ayers
n1270,Lucy Pearl
n1271,Styles P
n1272,Ray Charles
n1273,Chaka Khan
n1274,Abdominal
n1275,DJ Fase
n1276,Curse (3)
n1277,Prodigal Sunn
n1278,Hip Hop Alliance
n1279,Down Low
n1280,Flip Da Scrip
n1283,Slick Rick
n1286,The Bad Boy Family
n1287,J-Kwon
n1288,Petey Pablo
n1289,Ebony Eyez
n1290,Fabolous
n1291,Mike Shorey
n1296,Ruben Studdard
n1297,Fat Joe
n1302,Tony Sunshine
n1303,Dirtbag
n1306,Lakim Shabazz
n1307,Maurice Joshua
n1308,Da Posse
n1309,Bomfunk MC's
n1310,Max'C
n1316,Sean Paul
n1317,Daddy Yankee
n1318,Super Cat (2)
n1319,Dirtsman
n1320,M. Doc
n1321,Christina Sanchez
n1324,Soulife
n1325,Lizzy La Shé
n1326,Daft Punk
n1327,Slum Village
n1332,Keke Wyatt
n1333,Avant (2)
n1336,N.W.A.
n1337,Zena
n1338,Vybz Kartel
n1339,Charlie Wilson
n1343,Gwen Dickey
n1344,Optik Crew
n1349,Fat Jack
n1362,Damon Dash
n1363,OutKast
n1364,Killer Mike
n1367,Baby (2)
n1368,The #1 Stunna
n1369,Twista
n1370,The Speed Knot Mobsters
n1371,Lil' Scrappy
n1372,Trillville
n1373,Nujabes
n1374,Tsutchie
n1375,Force Of Nature
n1376,Das EFX
n1379,Maxim
n1380,Porsha
n1381,Akhenaton
n1382,Fonky Family
n1383,The Arabian Prince
n1384,Shaggy
n1385,Grand Puba
n1386,Kurtis Blow
n1387,Ralph MacDonald
n1390,The Soul Assassins
n1391,B-Real
n1392,The Books
n1402,Boyz II Men
n1403,Alan Braxe
n1415,Natruel
n1416,Wicked Will
n1417,Mr. Eon
n1418,Master P
n1419,WEST COAST BAD BOYZ
n1420,Mr. Complex
n1421,D-Styles
n1423,Sway & King Tech
n1424,DJ Revolution
n1425,Ray J
n1426,Shorty Mack
n1434,Usher
n1435,DJ Format
n1436,D-sisive
n1437,Big Boi
n1438,Steady B
n1448,Lexxus
n1449,Delly Ranks
n1450,Rik Rok
n1451,DJ Desue
n1452,Nature (4)
n1453,Kool Moe Dee
n1454,Chuck D
n1455,Chaka Demus & Pliers
n1456,Jack Radics
n1457,DJ $hin
n1458,K-Delight
n1461,Eric Haze
n1462,DJ Premier
n1465,Suprême NTM
n1466,Sylk 130
n1469,Louie Louie
n1470,O.C.
n1471,Yvette Michele
n1472,Mr. Mixx
n1473,Da Roughneck Posse
n1474,Mia X
n1478,Ant Banks
n1479,J-Dubb
n1480,WC
n1483,Olu Dara
n1484,Levert
n1485,Heavy D
n1486,Vansilk
n1497,The Groove Robbers (2)
n1498,Flakey C
n1499,Def Cut
n1502,Grand Agent
n1503,Marvin Gaye
n1504,Deee-Lite
n1507,D-Flame
n1508,Tone (4)
n1511,II Tone Committee
n1512,The Casual 7
n1513,Rasheeda (2)
n1514,Blackstreet
n1515,God's Property
n1516,Kirk Franklin's Nu Nation
n1523,Hypnotize Camp Posse
n1526,Eightball (3)
n1527,Canibus
n1537,12 Gauge
n1538,Freak Nasty
n1539,1-305
n1546,M.C. Boo
n1547,Parappa The Rappa
n1548,Timbaland
n1563,Tha Eastsidaz
n1572,Shyheim
n1573,The Rugged Child
n1574,L.A.'s Own Billy The Kidd
n1577,The Flip Squad
n1578,Bobby J
n1581,The Dogs
n1582,Queen
n1583,Free (2)
n1584,South Central Cartel
n1585,Murder Squad
n1586,The Mitchell Brothers
n1587,Sway
n1588,Poison Clan
n1589,Home Team
n1590,Jiggie Gee
n1591,KC (4)
n1594,T.I.
n1595,P$C
n1596,Xzibit
n1597,Ras Kass
n1598,Da Brat
n1599,Cherish
n1600,DJ JS-1
n1601,DJ Ody-Roc
n1606,Montell Jordan
n1611,Maxi Priest
n1612,Too Short
n1615,Ying Yang Twins
n1616,Mike Jones (2)
n1617,Mr. Collipark
n1618,Bell Biv Devoe
n1619,Ralph Tresvant
n1620,Johnny Gill
n1621,Alex And The City Crew
n1622,Rick James
n1623,Dub-L
n1629,Pappa Bear
n1630,Jan Van Der Toorn
n1631,Baby J
n1632,Blade (3)
n1633,Strapt
n1634,Bushido (2)
n1635,Clinton Sparks
n1636,Mpho Skeef
n1637,T-Boz
n1640,PMD
n1644,*NSYNC
n1645,Britney Spears
n1647,Mario Winans
n1648,Enya
n1650,Black Keith
n1651,Verb
n1652,Brother Marquis
n1653,Christina Aguilera
n1654,Mr. Thing
n1655,Journalist
n1656,M.O.P.
n1659,Jazzkantine
n1660,Aleksey
n1663,Chace Infinite
n1664,Nottz
n1665,DMP (3)
n1666,Go Like This
n1667,Erick Sermon
n1668,Sy Scott
n1669,Angie Stone
n1676,Elephant Man
n1677,504 Boyz
n1678,Toni L.
n1679,The Marxmen
n1682,Topology Crew
n1689,D'Angelo
n1690,Rollie Fingers
n1691,Disturbing Tha Peace
n1694,DJ Smallz
n1695,Mr. Pookie
n1696,Mr. Lucci
n1697,Mocha
n1698,Marla Mar
n1699,The Good 'N' Plenty Cru
n1702,Gennessee
n1703,Ed O.G
n1704,Trife
n1707,MC Madness
n1708,Ruff Eyque
n1709,Underground Network
n1710,Rmxcrw
n1711,Ambush (2)
n1712,I.V.A.
n1713,Percee P
n1714,Ekim
n1715,No I.D.
n1716,Ciara (2)
